,Section_Name,Content,Section_Number
109,ADVERSE EVENTS,The causal relationship to study drug is determined by a physician and should be used to assess  all adverse events (AE). The causal relationship can be one of the following: Related: There is a reasonable causal relationship between study drug administration and  the AE.,6
110,ADVERSE EVENTS,Not related: There is not a reasonable causal relationship between study drug  administration and the AE.,6
111,ADVERSE EVENTS,"The term ""reasonable causal relationship"" means there is evidence to suggest a causal  relationship.",6
112,ADVERSE EVENTS,"Adverse events can be spontaneously reported or elicited during open-ended questioning,  examination, or evaluation of a subject. (In order to prevent reporting bias, subjects should not be  questioned regarding the specific occurrence of one or more AEs.)",6
113,Serious Adverse Events,"A S erious Adverse Event (SAE) is any untoward medical occurrence that at any dose: results in death  is life-threatening (defined as an event in which the subject was at risk of death at the time of  the event; it does not refer to an event which hypothetically might have caused death if it  were more severe)  requires inpatient hospitalization or causes prolongation of existing hospitalization  (see NOTE below)  results in persistent or significant disability/incapacity  is a congenital anomaly/birth defect   is an important medical event (defined as a medical event(s) that may not be immediately  life-threatening or result in death or hospitalization but, based upon appropriate medical and  scientific judgment, may jeopardize the subject or may require intervention [eg, medical,  surgical] to prevent one of the other serious outcomes listed in the definition above.)  Examples of such events include, but are not limited to, intensive treatment in an emergency  room or at home for allergic bronchospasm; blood dyscrasias or convulsions that do not  result in hospitalization.) Suspected transmission of an infectious agent (eg, pathogenic or nonpathogenic) via the study  drug is an SAE.",6.1
114,Serious Adverse Events,"Although pregnancy, overdose, cancer, and potential drug induced liver abnormalities are not  always serious by regulatory definition, these events must be handled as SAEs.  (See Section 6.1.1 for reporting pregnancies). Standard medical practice in identifying and  monitoring hepatic abnormalities should be followed.",6.1
115,Serious Adverse Events,"   NOTE : The following hospitalizations are not considered SAEs in BMS clinical studies: a visit to the emergency room or other hospital department < 24 hours, that does not  result in admission (unless considered an important medical or life-threatening event)  elective surgery, planned prior to signing consent  admissions as per protocol for a planned medical/surgical procedure  routine health assessment requiring admission for baseline/trending of health status  (eg, routine colonoscopy)  medical/surgical admission other than to remedy ill health and planned prior to entry into  the study. Appropriate documentation is required in these cases  admission encountered for another life circumstance that carries no bearing on health  status and requires no medical/surgical intervention (eg, lack of housing, economic  inadequacy, caregiver respite, family circumstances, administrative reason).  Admission for administration of anticancer therapy in the absence of any other SAEs  (applies to oncology protocols)",6.1
116,Serious Adverse Event Collection and Reporting,"Sections 5.6.1 and 5.6.2 in the Investigator Brochure (IB) represent the Reference Safety  Information to determine expectedness of serious adverse events for expedited reporting.  Following the subjects written consent to participate in the study, all SAEs must be collected and reported in a timely fashion, including those thought to be associated with protocol-specified  procedures (exemptions to usual SAE reporting are described in section 6.1.1.1 ). All SAEs must  be collected that occur during the screening period and within 30 days of discontinuation of  dosing. The investigator should expeditiously report any SAE that occurs after these time periods  and that is believed to be related to study drug or protocol-specified procedure.",6.1.1
117,Serious Adverse Event Collection and Reporting,An SAE report should be completed for any event where doubt exists regarding its seriousness.,6.1.1
118,Serious Adverse Event Collection and Reporting,"If the investigator believes that an SAE is not related to study drug, but is potentially related to  the conditions of the study (such as withdrawal of previous therapy or a complication of a study  procedure), the relationship should be specified in the narrative section of the SAE Report Form.",6.1.1
119,Serious Adverse Event Collection and Reporting,"SAEs, whether related or not related to study drug, and pregnancies must be reported to BMS  (or designee) within 24 hours of awareness of the event. SAEs must be recorded on the SAE  Report Form; pregnancies on a Pregnancy Surveillance Form (electronic or paper forms). The  preferred method for SAE data reporting collection is through the eCRF. The paper  SAE/pregnancy surveillance forms are only intended as a back-up option when the eCRF system  is not functioning. In this case, the paper forms are to be transmitted via email or confirmed  facsimile (fax) transmission to: SAE Email Address: Refer to Contact Information list.",6.1.1
120,Serious Adverse Event Collection and Reporting,SAE Facsimile Number: Refer to Contact Information list.,6.1.1
121,Serious Adverse Event Collection and Reporting,"   For studies capturing SAEs through electronic data capture (EDC), electronic submission is the  required method for reporting. The paper forms should be used and submitted immediately, only  in the event the electronic system is unavailable for transmission. When paper forms are used,  the original paper forms are to remain on site.",6.1.1
122,Serious Adverse Event Collection and Reporting,SAE Telephone Contact (required for SAE and pregnancy reporting): Refer to Contact  Information list.,6.1.1
123,Serious Adverse Event Collection and Reporting,"If only limited information is initially available, follow-up reports are required. (Note: Follow-up  SAE reports should include the same investigator term(s) initially reported.) If an ongoing SAE changes in its intensity or relationship to study drug or if new information  becomes available, a follow-up SAE report should be sent within 24 hours to the BMS  (or designee) using the same procedure used for transmitting the initial SAE report.",6.1.1
124,Serious Adverse Event Collection and Reporting,All SAEs should be followed to resolution or stabilization.,6.1.1
125,Protocol Specific Exceptions to SAE Reporting,"Given the body of safety data already collected on apixaban, only targeted SAEs need to be  reported in an expedited fashion. These events include: All deaths (known and unknown cause)  Life threatening events assessed by investigator as related to study drug (excluding  endpoints)  All SAEs that are related (as determined by investigator) to study drug (excluding endpoints)  SAE of interest: liver injury (jaundice, hepatitis, liver failure)  Pregnancies  Overdose So a fatal pneumonia event, for example, regardless of causality, would be reported in the usual  expedited manner as an SAE. But a non-fatal myocardial infarction would not need to be  reported as an SAE; this event would be reported in the endpoint pages of the case report form.",6.1.1.1
126,Protocol Specific Exceptions to SAE Reporting,"Beyond expedited adverse event reporting, clinically important outcome events are being  systematically collected on the electronic case report form and adjudicated by the blinded  clinical events adjudication committee. These events to be adjudicated include: All deaths and the cause of death  All bleeding events  All ischemic events including death, myocardial infarction, stent thrombosis, and stroke",6.1.1.1
127,Nonserious Adverse Events,A nonserious adverse event is an AE not classified as serious.,6.2
128,Nonserious Adverse Events,  ,6.2
129,Nonserious Adverse Event Collection and Reporting,Only NSAEs that occur after the initiation of study drug and that result in permanent treatment  discontinuation (including withdrawal from study) should be recorded in the eCRF.,6.2.1
130,Nonserious Adverse Event Collection and Reporting,"Nonserious AEs should be followed to resolution or stabilization, or reported as SAEs if they  become serious (see Section 6.1.1 ). Follow-up is also required for nonserious AEs that cause  interruption or discontinuation of study drug and for those present at the end of study treatment  as appropriate. Reportable nonserious AEs must be recorded and described on the nonserious AE  page of the CRF (paper or electronic).",6.2.1
131,Nonserious Adverse Event Collection and Reporting,Completion of supplemental CRFs may be requested for AEs and/or laboratory abnormalities  that are reported/identified during the course of the study.,6.2.1
132,Laboratory Test Result Abnormalities,The following laboratory test result abnormalities should be captured on the nonserious AE CRF  page or SAE Report Form (paper or electronic) as appropriate: Any laboratory test result that is clinically significant or meets the definition of an SAE   Any laboratory test result abnormality that required the subject to have study drug  discontinued or interrupted  Any laboratory test result abnormality that required the subject to receive specific corrective  therapy.,6.3
133,Laboratory Test Result Abnormalities,"(For subjects randomized to VKA treatment, INR values outside of the therapeutic range need  not be reported unless associated with a clinically apparent adverse event, such as bleeding.) It is expected that wherever possible, the clinical rather than laboratory term would be used by  the reporting investigator (eg, anemia versus low hemoglobin value).",6.3
134,Pregnancy,"If, following initiation of the study drug, it is subsequently discovered that a study subject is  pregnant or may have been pregnant at the time of study exposure, including during at least  5 half lives after product administration, the investigator must immediately notify the BMS  Medical Monitor/designee of this event and complete and forward a Pregnancy Surveillance  Form to BMS Designee within 24 hours of awareness of the event and in accordance with SAE  reporting procedures described in Section 6.1.1.",6.4
135,Pregnancy,"In most cases, the study drug will be permanently discontinued in an appropriate manner  (eg, dose tapering if necessary for subject safety).",6.4
136,Pregnancy,"In the rare event that the benefit of continuing study drug is thought to outweigh the risk, after  consultation with BMS, the pregnant subject may continue study drug after a thorough  discussion of benefits and risk with the subject    Protocol-required procedures for study discontinuation and follow-up must be performed on the  subject unless contraindicated by pregnancy (eg, x-ray studies). Other appropriate pregnancy  follow-up procedures should be considered if indicated.",6.4
137,Pregnancy,The investigator must immediately notify the BMS (or designee) Medical Monitor of this event  and complete and forward a Pregnancy Surveillance Form to BMS (or designee) within 24 hours  of awareness of the event and in accordance with SAE reporting procedures described in  Section 6.1.1 .,6.4
138,Pregnancy,"Follow-up information regarding the course of the pregnancy, including perinatal and neonatal  outcome and, where applicable, offspring information must be reported on the Pregnancy  Surveillance Form.",6.4
139,Pregnancy,Any pregnancy that occurs in a female partner of a male study participant should be reported to  BMS. Information on this pregnancy will be collected on the Pregnancy Surveillance Form.,6.4
140,Overdose,,6.5
141,Other Safety Considerations,"Any  significant  worsening  noted  during  interim  or  final  physical  examinations, electrocardiogram, x-ray filming, any other potential safety assessment required or not required  by protocol should also be recorded as a nonserious or serious AE, as appropriate, and reported  accordingly, except those listed those clinical endpoints in section 6.1.1.1 which are exempt from  reporting.",6.6
142,DATA MONITORING COMMITTEE AND OTHER EXTERNAL COMMITTEES,"When required, adjudicated events will be submitted to the Data Monitoring Committee (DMC) and Health Authorities for review on a specified timeframe in accordance with the adjudication  documentation.",7
143,DATA MONITORING COMMITTEE AND OTHER EXTERNAL COMMITTEES,"The external academic-led committees for this study will include an executive committee,  steering committee, and clinical event adjudication committee. The executive committee will be  a small body comprised of academic and sponsor representatives. The executive committee will  lead the daily decision making for the study. The steering committee will be a larger body  comprised of country-level academic leaders, as well as sponsor representatives, and will meet  periodically at the recommendation of the executive committee. The clinical event adjudication  committee will be an independent body of clinicians who are not otherwise involved with the  study and will evaluate clinical events related to the studys endpoints.",7
144,DATA MONITORING COMMITTEE AND OTHER EXTERNAL COMMITTEES,"The DMC will consider efficacy events, in addition to safety events, before making any study  stopping recommendations to the executive committee and study sponsors, as per guidelines set  forth in the DMC charter.",7
145,DATA MONITORING COMMITTEE AND OTHER EXTERNAL COMMITTEES,  ,7
146,STATISTICAL CONSIDERATIONS,,8
147,Sample Size Determination,This is a 2 x 2 factorial design with dual primary objectives. The sample size is based on the  primary set of comparisons between Apixaban vs VKA for the primary endpoint of ISTH major  or CRNM bleeding.,8.1
148,Sample Size Determination,"A total of 357 primary endpoint events and 4600 subjects will provide 77% power for test of  non-inferiority (NI) using a stratified log rank test of apixaban versus VKA, assuming a NI  margin of 1.2, with ISTH major or CRNM bleeding event rates in apixaban and VKA groups of  8.1% per half year and 9% per half year, respectively, one-sided significance level of 0.025, six  month follow up, and a 1% per year of loss to follow up. The NI margin was selected because an  absolute risk difference of greater than 1.8% (20% of VKA event rate of 9%) in bleeding is  considered to be a clinically meaningful difference.",8.1
149,Sample Size Determination,This sample size will also provide at least 77.5% power for superiority test of apixaban versus  VKA assuming a risk reduction of 25% and a two-sided significant level of 0.05.,8.1
150,Sample Size Determination,"A blinded assessment of the primary endpoint event rate will be performed after 50% of subjects  have completed the study. The analyses will focus on the aggregate event rate and the sample  size may be increased if the aggregate event rate is lower than anticipated. The blinded event  rates will be estimated by an independent statistician not associated with BMS and not otherwise  associated with apixaban, and will be provided to the Executive Committee. Sample size may be  adjusted (depending on availability of resources) to provide sufficient power for both  non-inferiority and superiority test on the primary endpoint and first secondary endpoint. Up to a  maximum of subjects may be randomized to maintain appropriate power for both  non-inferiority and superiority test on the primary endpoint and first secondary endpoint to avoid  the potential of futility in this study using the pre-specified rule below. Table 8.1-1 gives a  guideline for sample size adjustment.",8.1
151,Populations for Analyses,The primary safety data set includes all treated subjects who receive at least one dose of study  drug.,8.2
152,Populations for Analyses,"A secondary data set, the evaluable subject data set, is a set of the primary safety data set and  will exclude data from subjects with relevant protocol deviations expected to affect the primary  safety endpoint. Relevant protocol deviations will be pre-specified in the statistical analysis plan.",8.2
153,Populations for Analyses,The primary safety data set and the evaluable subject data will be used to analyze the primary  safety endpoints. The primary safety data set will be used to analyze other safety endpoints.,8.2
154,Populations for Analyses,The intention-to-treat population of all randomized subjects will be used to analyze all efficacy  endpoints.,8.2
155,Endpoints,,8.3
156,Primary Endpoint(s),The primary endpoint for apixaban versus VKA is ISTH major or CRNM bleeding The primary endpoint for aspirin versus aspirin placebo is ISTH major or CRNM bleeding,8.3.1
157,Secondary Endpoint(s),"The secondary endpoint for apixaban versus VKA includes Superiority on ISTH major + CRNM bleeding  The composite of all-cause death and all-cause re-hospitalization.  The composite endpoints of death and ischemic events (stroke, myocardial infarction, stent  thrombosis, urgent coronary revascularization) The secondary endpoint for aspirin versus aspirin placebo includes The composite of all-cause death and all-cause re-hospitalization   The composite endpoints of death and ischemic events (stroke, myocardial infarction, stent  thrombosis, urgent coronary revascularization)         ",8.3.2
158,Analyses,,8.4
159,Demographics and Baseline Characteristics,,8.4.1
160,Efficacy Analyses,"This study does not have a primary efficacy analysis. The secondary efficacy endpoints are the  composite of all-cause death and all-cause re-hospitalization and the composite of death and  ischemic  events  (stroke,  myocardial  infarction,  stent  thrombosis,  urgent  coronary  revascularization).",8.4.2
161,Efficacy Analyses,A Cox proportional hazards model including treatment group as a covariate and stratified by  indication at enrollment ( PCI/ACS) and antiplatelet use (aspirin placebo and aspirin) will be  used to model the time to first occurrence of composite death and ischemic events during the  6- month treatment period. A point estimate and two-sided 95% CI for hazard ratio will be  calculated. A p-value for the test of equality of rates (HR = 1) will be calculated.,8.4.2
162,Efficacy Analyses,  ,8.4.2
163,Safety Analyses,The term treatment period for bleeding endpoints refers to the period between the first  administration of study drug and two days after the last administration of study drug.,8.4.3
164,Safety Analyses,8.4.3.1 The primary set of comparisons between apixaban and VKA The primary endpoint will be time to first occurrence of ISTH major or CRNM bleeding during  the treatment period. Tests using non-inferiority margin will be performed using a Cox  proportional hazards model including treatment group as a covariate and stratified by indication  at enrollment ( PCI/ACS) and antiplatelet use (aspirin and aspirin placebo). A point estimate and  two-sided 95% CI for hazard ratio and a p-value for the test of equality of rates (HR = 1) will be  calculated. Non-inferiority will be demonstrated if the upper bound of the two-sided 95% CI for  HR is less than 1.2. Subjects without events during the treatment period will be censored.,8.4.3
165,Safety Analyses,Interaction between oral anticoagulant use (apixaban and VKA) and antiplatelet usage (aspirin or  aspirin placebo) is not expected. This assumption will be examined as described in the statistical  analysis plan.,8.4.3
166,Safety Analyses,"The primary analysis will be based on treated subjects, and a sensitivity analysis will be  performed on the intention-to-treat population.",8.4.3
167,Safety Analyses,A hierarchical testing strategy described below will be used to compare the effects of apixaban  and VKA between treatment groups.,8.4.3
168,Safety Analyses,"Non-inferiority (NI) for the primary endpoint, a composite of ISTH major or CRNM  bleeding, will be tested first.",8.4.3
169,Safety Analyses,"If NI is not demonstrated, then nominal p-values will be presented for subsequent  comparisons between apixaban and VKA  If NI is demonstrated, then superiority for the composite of ISTH major or CRNM bleeding  will be tested. If superiority is not demonstrated, then nominal P-values will be presented for  subsequent comparisons between apixaban and VKA.  If superiority for the composite of ISTH major or CRNM bleeding is demonstrated, then  superiority for the composite of all-cause death and all-cause re-hospitalization will be tested.  If superiority is not demonstrated, then nominal p-values will be presented for subsequent  comparisons between apixaban and VKA.  If superiority for the composite of all-cause death and all-cause re-hospitalization is  demonstrated, then the composite of all-cause death and ischemic events will be tested.",8.4.3
170,Safety Analyses,All tests will be performed at the one-sided = 0.025 significance level.,8.4.3
171,Safety Analyses,  ,8.4.3
172,The primary set of comparisons between apixaban and VKA,   ,8.4.3.1
173,The secondary set of comparisons between Aspirin and Placebo,"The comparison between the groups treated with aspirin and aspirin placebo is critical in this  population, in whom accumulating evidence suggests that omission of aspirin is associated with  less bleeding than triple therapy without a loss in efficacy for thromboembolic events.",8.4.3.2
174,The secondary set of comparisons between Aspirin and Placebo, The analyses for the primary and secondary endpoints for aspirin vs aspirin placebo will be  similar to the analyses for apixaban vs. VKA. A hierarchical testing strategy at the one-sided = 0.025 significance level will be used for a separate secondary set of comparisons between  aspirin and aspirin placebo.,8.4.3.2
175,Meta-Analysis,,8.4.3.3
176,Pharmacokinetic Analyses,Not applicable.,8.4.4
177,Pharmacokinetic Analyses,.,8.4.4
178,Outcomes Research Analyses,,8.4.6
179,Other Analyses,,8.4.7
180,Interim Analyses,,8.5
181,STUDY MANAGEMENT,,9
182,Compliance,,9.1
183,Compliance with the Protocol and Revisions,"The study shall be conducted as described in this approved protocol. All revisions to the protocol  must be discussed with, and be prepared by, BMS. The investigator should not implement any  deviation or change to the protocol without prior review and documented approval/favorable  opinion from the IRB/IEC of an amendment, except where necessary to eliminate an immediate  hazard(s) to study subjects.",9.1.1
184,Compliance with the Protocol and Revisions,"   If a deviation or change to a protocol is implemented to eliminate an immediate hazard(s) prior  to obtaining IRB/IEC approval/favorable opinion, as soon as possible the deviation or change  will be submitted to: IRB/IEC for review and approval/favorable opinion  BMS  Regulatory Authority(ies), if required by local regulations Documentation of approval signed by the chairperson or designee of the IRB(s)/IEC(s) must be  sent to BMS.",9.1.1
185,Compliance with the Protocol and Revisions,If an amendment substantially alters the study design or increases the potential risk to the  subject: (1) the consent form must be revised and submitted to the IRB(s)/IEC(s) for review and  approval/favorable opinion; (2) the revised form must be used to obtain consent from subjects  currently enrolled in the study if they are affected by the amendment; and (3) the new form must  be used to obtain consent from new subjects prior to enrollment.,9.1.1
186,Compliance with the Protocol and Revisions,"If the revision is done via an administrative letter, investigators must inform their IRB(s)/IEC(s).",9.1.1
187,Monitoring,BMS representatives will review data centrally to identify potential issues to determine a  schedule of on-site visits for targeted review of study records.,9.1.2
188,Monitoring,"Representatives of BMS must be allowed to visit all study site locations periodically to assess the  data quality and study integrity. On site they will review study records and directly compare  them with source documents, discuss the conduct of the study with the investigator, and verify  that the facilities remain acceptable.",9.1.2
189,Monitoring,"In addition, the study may be evaluated by BMS internal auditors and government inspectors  who must be allowed access to CRFs, source documents, other study files, and study facilities.  BMS audit reports will be kept confidential.",9.1.2
190,Monitoring,"The investigator must notify BMS promptly of any inspections scheduled by regulatory  authorities, and promptly forward copies of inspection reports to BMS.",9.1.2
191,Source Documentation,"The Investigator is responsible for ensuring that the source data are accurate, legible,  contemporaneous, original and attributable, whether the data are hand-written on paper or  entered electronically. If source data are created (first entered), modified, maintained, archived,  retrieved, or transmitted electronically via computerized systems (and/or any other kind of  electronic devices) as part of regulated clinical trial activities, such systems must be compliant  with all applicable laws and regulations governing use of electronic records and/or electronic  signatures. Such systems may include, but are not limited to, electronic medical/health records  (EMRs/EHRs), adverse event tracking/reporting, protocol required assessments, and/or drug  accountability records).",9.1.2.1
192,Source Documentation,"   When paper records from such systems are used in place of electronic format to perform  regulated activities, such paper records should be certified copies. A certified copy consists of a  copy of original information that has been verified, as indicated by a dated signature, as an exact  copy having all of the same attributes and information as the original.",9.1.2.1
193,Investigational Site Training,,9.1.3
194,Records,,9.2
195,Records Retention,"The investigator must retain all study records and source documents for the maximum period  required by applicable regulations and guidelines, or institution procedures, or for the period  specified by BMS, whichever is longer. The investigator must contact BMS prior to destroying  any records associated with the study.",9.2.1
196,Records Retention,BMS will notify the investigator when the study records are no longer needed.,9.2.1
197,Records Retention,"If the investigator withdraws from the study (eg, relocation, retirement), the records shall be  transferred to a mutually agreed upon designee (eg, another investigator, IRB). Notice of such  transfer will be given in writing to BMS.",9.2.1
198,Study Drug Records,"Records for IP (whether supplied by BMS, its vendors, or the site) must substantiate IP integrity  and traceability from receipt, preparation, administration, and through destruction or return.  Records must be made available for review at the request of BMS/designee or a Health  Authority.",9.2.2
199,Study Drug Records,    BMS or designee will provide forms to facilitate inventory control if the investigational site does  not have an established system that meets these requirements.,9.2.2
200,Case Report Forms,An investigator is required to prepare and maintain adequate and accurate case histories designed  to record all observations and other data pertinent to the investigation on each individual treated  or entered as a control in the investigation. Data that are derived from source documents and  reported on the CRF must be consistent with the source documents or the discrepancies must be  explained. Additional clinical information may be collected and analyzed in an effort to enhance  understanding of product safety. CRFs may be requested for AEs and/or laboratory abnormalities  that are reported or identified during the course of the study.,9.2.3
201,Case Report Forms,"For sites using the BMS electronic data capture tool, electronic CRFs will be prepared for all  data collection fields except for fields specific to SAEs and pregnancy, which will be reported on  the paper or electronic SAE form and Pregnancy Surveillance form, respectively.",9.2.3
202,Case Report Forms,"The confidentiality of records that could identify subjects must be protected, respecting the  privacy and confidentiality rules in accordance with the applicable regulatory requirement(s).",9.2.3
203,Case Report Forms,The investigator will maintain a signature sheet to document signatures and initials of all persons  authorized to make entries and/or corrections on CRFs.,9.2.3
204,Case Report Forms,"The completed CRF, including any paper or electronic SAE/pregnancy CRFs, must be promptly  reviewed, signed, and dated by the investigator or qualified physician who is a subinvestigator  and who is delegated this task on the Delegation of Authority Form. The investigator must retain  a copy of the CRFs including records of the changes and corrections.",9.2.3
205,Case Report Forms,Each individual electronically signing electronic CRFs must meet BMS training requirements  and must only access the BMS electronic data capture tool using the unique user account  provided by BMS. User accounts are not to be shared or reassigned to other individuals.,9.2.3
206,Clinical Study Report and Publications,A Signatory Investigator must be selected to sign the clinical study report.,9.3
207,Clinical Study Report and Publications,"For this protocol, the Signatory Investigator will be selected as appropriate based on the  following criteria:    External Principal Investigator designated at protocol development  National Coordinating Investigator   Subject recruitment (eg, among the top quartile of enrollers)  Involvement in trial design  Other criteria (as determined by the study team) The data collected during this study are confidential and proprietary to BMS. Any publications  or abstracts arising from this study must adhere to the publication requirements set forth in the  clinical trial agreement (CTA) governing you or your institutions participation in the study.  These requirements include, but are not limited to, submitting proposed publications to BMS at  the earliest practicable time prior to submission or presentation and otherwise within the time  period set forth in the CTA.",9.3
208,Clinical Study Report and Publications,  ,9.3
